name;color;size;brand;model;description;type;barcode;purchasePrice;sellingPrice;supplierId;subCategoryId;zoneId;quantity
Bonnet 32;Bleu;Unique;Zara;Luxe;Nouvelle collection;PACK;BC1031;119.3;230.42;3;1;5;33
Écharpe Laine 33;Rose;XL;Prada;Sport;Article tendance;SINGLE;BC1032;183.81;318.62;3;10;2;57
Ceinture Cuir 34;Rose;XL;H&M;Luxe;Édition limitée;PACK;BC1033;174.37;496.81;5;1;3;54
Lunettes Soleil 35;Vert;XL;Nike;Sport;Confort garanti;SINGLE;BC1034;111.07;265.19;2;4;3;40
Collier Fantaisie 36;Gris;XL;Zara;Classic;Best-seller;PACK;BC1035;130.4;231.69;2;9;3;27
Bracelet Perles 37;Rose;Unique;Adidas;2024;Article tendance;PACK;BC1036;74.93;398.62;2;9;2;96
Bague Argent 38;Beige;M;Adidas;Sport;Best-seller;SINGLE;BC1037;94.54;204.69;2;2;2;40
Montre Sport 39;Bleu;XL;Zara;Luxe;Confort garanti;SINGLE;BC1038;54.84;295.01;2;2;3;93
Boucles d'oreilles Or 40;Beige;XL;Gucci;Luxe;Article tendance;PACK;BC1039;20.25;221.69;1;5;1;4
Sac Cabas 41;Beige;Unique;Gucci;2024;Nouvelle collection;SINGLE;BC1040;144.05;434.87;3;10;4;31
Sac Banane 42;Blanc;M;H&M;2024;Nouvelle collection;PACK;BC1041;68.06;335.44;3;7;5;71
Sac Voyage 43;Beige;S;Zara;Classic;Best-seller;SINGLE;BC1042;93.58;414.17;4;6;3;18
Pochette Main 44;Rose;L;Nike;Classic;Nouvelle collection;PACK;BC1043;70.63;354.75;3;8;4;38
Sac Shopping 45;Blanc;S;Prada;2023;Confort garanti;PACK;BC1044;133.91;384.31;1;10;1;55
Veste Jean 46;Beige;L;Prada;Classic;Confort garanti;SINGLE;BC1045;156.87;385.78;3;4;1;11
Veste Cuir 47;Gris;S;Chanel;2023;Édition limitée;SINGLE;BC1046;180.55;348.38;4;9;3;20
Manteau Hiver 48;Rouge;L;Zara;Sport;Confort garanti;SINGLE;BC1047;16.04;231.01;3;9;3;0
Pull Laine 49;Beige;XL;H&M;Classic;Confort garanti;SINGLE;BC1048;26.04;338.79;2;2;2;75
Sweat Hoodie 50;Noir;Unique;Gucci;2024;Édition limitée;SINGLE;BC1049;140.48;442.45;2;1;3;24
